M.E.T. [s], Sea Level Altitude [m], Radar Altitude [m], Latitude [deg], Longitude [deg], Surface Velocity [m/s], Orbital Velocity [m/s], Vertical Speed [m/s], Ground Speed [m/s], Apoapsis [m], Time to Apoapsis [s], Periapsis [m], Time to Periapsis [s], Inclination [deg], Mass [t], Max Thrust [kN], Current Thrust [kN], T.W.R., % Terminal Velocity, Trajectory Preferred Pitch [deg], Pitch Command [deg], Vessel Pitch [deg], Heading Command [deg], Vessel Heading [deg], dv Spent [m/s], Dynamic Pressure [kPa]
53.2840997313976, 8549.2524291157, 8549.251953125, -0.0969229489564896, -74.1331024169922, 432.604184423877, 561.871983554346, 335.143117938509, 273.542391808124, 14721.5676089847, 36.9066058419048, -589148.536652025, 329.34618586832, 0.0969438563442135, 8.08908843994141, 192.650665283203, 192.631637573242, 2.49537661561824, 42.7739013676468, 51.6273808529239, 51.6273808529239, 51.7220469727133, 90.1938729155956, 89.942955093907, 1010.88290651509, 0.333889606767568
54.3640997313967, 8915.87907417712, 8915.87890625, -0.0969206616282463, -74.1045608520508, 447.920322030954, 578.08984556326, 343.597003497012, 287.356365432897, 15429.6815965989, 37.9972511018099, -588441.560466734, 331.429670399829, 0.0969230792684661, 8.0202579498291, 193.155853271484, 193.137466430664, 2.52642328565758, 42.0621490135656, 50.793745737928, 50.793745737928, 51.0098473951265, 90.1938837327921, 89.8254262355289, 1036.76704733074, 0.337279768685587
55.4840997313956, 9305.66587605001, 9305.666015625, -0.0969025045633316, -74.0734710693359, 464.156758397436, 595.466276471577, 351.809567346384, 302.773010411799, 16165.0989001776, 39.0866327240045, -587624.803413663, 333.609359865221, 0.0997862650247309, 7.94887828826904, 193.657318115234, 193.639846801758, 2.5589933886732, 40.1705668567407, 49.9876020786126, 49.9876020786126, 50.5143764109212, 90.1940806467388, 87.8794709257758, 1063.91707406697, 0.336397027887242
56.5640997313947, 9690.71905353072, 9690.71875, -0.0968678891658783, -74.0419998168945, 480.342494743954, 612.519191906504, 360.525674375341, 317.411603556134, 16926.3613503126, 40.2416656985556, -586820.08022424, 335.865767380004, 0.1141619664976, 7.88004732131958, 194.116607666016, 194.100036621094, 2.59073172784353, 38.2801777055369, 49.1793457070368, 49.1793457070368, 49.4085633283202, 90.1940449049521, 89.5132494395546, 1089.4137720046, 0.334883670981423
57.6440997313937, 10085.1473113268, 10085.1474609375, -0.0968209505081177, -74.0090179443359, 497.037720335498, 630.022541865815, 369.574200129837, 332.357320839639, 17724.0820472761, 41.4533731270149, -585969.532623466, 338.238198879495, 0.111888089370087, 7.81121635437012, 194.552429199219, 194.536697387695, 2.62280991080201, 36.411603901058, 48.3685090948537, 48.3685090948537, 48.34740646128, 89.7864226123319, 90.1238739374645, 1116.18485804031, 0.332691976345017
58.7240997313927, 10489.1382559056, 10489.138671875, -0.0967726334929466, -73.9731369018555, 515.378394254126, 649.404200469565, 378.763815436298, 349.503733471889, 18570.4134491666, 42.7191571610653, -584959.6266318, 340.812974427766, 0.10785289007874, 7.7398362159729, 194.965301513672, 194.950393676758, 2.65625140453278, 34.1365194950284, 47.5247931184922, 47.5247931184922, 47.2465800985842, 89.7864494423498, 90.062935046515, 1143.25197050234, 0.330453155307801
59.8440997313917, 10918.3883487849, 10918.388671875, -0.0967291742563248, -73.9368286132813, 533.642679592711, 668.640084412251, 387.850394492683, 366.533179593601, 19421.7886805532, 43.9902989013914, -583918.157713593, 343.420898177585, 0.107042544869089, 7.6710057258606, 195.369735717773, 195.355697631836, 2.6892799983236, 32.0253023206744, 46.7081650171003, 46.7081650171003, 46.7728803800229, 89.7854173463036, 90.0480922610342, 1171.63712397305, 0.327584709923534
60.9640997313907, 11358.2123035879, 11358.2119140625, -0.0966789200901985, -73.8973617553711, 552.55754608333, 688.534204897799, 397.080695957365, 384.248300606666, 20322.6917368083, 45.3086047459611, -582792.782442918, 346.172428981657, 0.17086412605038, 7.60036039352417, 195.750625610352, 195.737442016602, 2.72347491738567, 31.2737330371587, 45.8581032470238, 45.8581032470238, 45.9822359555198, 90.2202071297922, 89.8981578955736, 1200.34514576625, 0.323299051779354
62.0440997313897, 11792.0773884126, 11792.0771484375, -0.0965947061777115, -73.8560333251953, 572.220128331779, 709.173506199608, 406.530643903091, 402.701762624802, 21262.3722285205, 46.6840656901218, -581575.577725557, 349.076000080995, 0.142059874169085, 7.52898025512695, 196.095642089844, 196.083251953125, 2.75818538448533, 34.7063825071226, 45.0055773668764, 45.0055773668764, 45.1877837204523, 90.387587504126, 90.0302075858082, 1228.33298898938, 0.318196084395044
63.1640997313887, 12252.4709801942, 12252.470703125, -0.0964886695146561, -73.8143539428711, 591.729900755959, 729.617660628112, 415.751963974193, 421.063638305136, 22202.1862740802, 48.0542472577659, -580318.097203549, 352.005572317475, 0.12041221667077, 7.46014928817749, 196.431182861328, 196.419570922852, 2.7924341413593, 29.7416113634132, 44.1807485283478, 44.1807485283478, 44.3281480708894, 89.5878272157009, 90.4459489326434, 1257.68062949201, 0.31276592232147
64.2440997313877, 12706.5533198006, 12706.5537109375, -0.0963777303695679, -73.7708206176758, 611.652189519902, 750.470280220747, 424.975306418291, 439.902723257727, 23171.0143030102, 49.4564461078277, -578979.095076874, 355.048483680162, 0.141246442324509, 7.39131879806519, 196.733947753906, 196.723098754883, 2.82695789034446, 30.2760845428611, 43.3532401738099, 43.3532401738099, 43.476779496445, 89.7109542992097, 90.5661838549163, 1286.29293088399, 0.306519366157279
65.3240997313867, 13170.4611262681, 13170.4609375, -0.0962795838713646, -73.7253952026367, 631.807461822447, 771.571340748126, 433.992932699151, 459.163189732232, 24158.8124886518, 50.8667821438652, -577558.069094105, 358.174469608241, 0.1217963932692, 7.32248783111572, 197.016738891602, 197.006622314453, 2.86194743749835, 31.554491747479, 42.4926281281134, 42.4926281281134, 42.5013133162639, 89.7544487843259, 90.2276251685964, 1315.21599369466, 0.299090670532709
